"serial","year_serial","time_serial","incident_id","school","school_level","date","year","first_shot_time","time_slot","decimal_time","city","state","lat","long","location","location_type","shoot_category","time_slot_group","random","random_x","random_y","random_x1","random_y1","random_x2","random_y2","males","na","females","killed","injured","total","long2","lat2","frequency","school_number","random_x10","random_y10","internal_serial"
37,17,2,"19711103NMCAC","Carlsbad Mid-High School","6-12","1971-11-03",1971,"10:19:00",10,10.32,"Carlsbad","NM",32.4318857,-104.262867,"Other","Inside School Building","10-30",10,0.8499162551015615,0.48929831851273775,0.2771704422775656,0.11778316739946604,0.4299952802248299,0.4993167766369879,0.26587177347391844,1,0,0,0,1,1,-402993.2986202576,-1382581.6328176064,1,337,0.7008530874736607,0.8578064534813166,1
38,18,2,"19711108OKGRT","Grove Elementary School","Elementary","1971-11-08",1971,"09:00:00",9,9,"Tulsa","OK",36.0726929,-95.861084,"Other","Inside School Building","0-5",9,0.2527920773718506,0.21089391340501606,0.13794010342098773,0.41353046940639615,0.5312683584634215,0.7201699959114194,0.9955392065458,1,0,0,1,0,1,373754.09099434095,-981267.5386191716,1,737,0.8227173916529864,0.9858675547875464,1
39,19,1,"19711124MDEDB","Edmondson Senior High School","High","1971-11-24",1971,"14:27:00",14,14.45,"Baltimore","MD",39.2951125,-76.6904605,"Parking Lot","Outside on School Property","0-5",14,0.6746187368407845,0.8648803611285985,0.8714641649276018,0.6623187679797411,0.0029310036916285753,0.8896887958981097,0.15588175738230348,1,0,0,1,0,1,1980410.4316651968,-352824.8862922747,1,580,0.76039953622967,0.05135561525821686,1
40,20,26,"19711206CALOL","Louis Stevenson Junior High School","JuniorHigh","1971-12-06",1971,"NA:NA:NA",NA,NA,"Los Angeles","CA",34.02612,-118.19285,"Gym","Inside School Building",NA,-1,0.5751885022036731,0.8086163310799748,0.00731279980391264,0.7104507726617157,0.43917722743935883,0.6592382958624512,0.7453807224519551,2,0,2,0,4,4,-1671783.6490369614,-1037143.7583248885,1,1052,0.5314093357883394,0.6583434115163982,1
41,21,2,"19711213MDCAB","Carver Vocational High School","High","1971-12-13",1971,"08:18:00",8,8.3,"Baltimore","MD",39.304936,-76.6516119,"Classroom","Inside School Building","0-5",8,0.7239201285410672,0.24218420684337616,0.8638856089673936,0.6172299855388701,0.9317548067774624,0.6651069801300764,0.05140224494971335,1,0,0,0,1,1,1983312.7619375624,-350830.2612310999,1,348,0.3952201346401125,0.14918039203621447,1
42,1,3,"19720105DCPAW","Parkview Elementary School","Elementary","1972-01-05",1972,"09:30:00",9,9.5,"Washington","DC",38.93441,-77.0213,"Classroom","Inside School Building","0-5",9,0.9086605343036354,0.43420699797570705,0.14197271666489542,0.638523873174563,0.583316775970161,0.7156313254963607,0.31147361383773386,0,0,1,1,0,1,1963619.0027084872,-399705.02583398175,1,1343,0.15766277792863548,0.2158646397292614,1
43,2,3,"19720124OHSTS","Stow High School","High","1972-01-24",1972,"10:00:00",10,10,"Stow","OH",41.1685065,-81.3943413,"Classroom","Inside School Building","0-5",10,0.39639405393972993,0.6486354588996619,0.9575323876924813,0.16875395621173084,0.4176702876575291,0.3942092426586896,0.9346756585873663,1,0,0,0,1,1,1545713.7548187424,-250169.89911791508,1,1665,0.2500149894040078,0.20424686395563185,1
44,3,2,"19720126MDHAB","Harlem Park Junior High School","JuniorHigh","1972-01-26",1972,"14:45:00",14,14.75,"Baltimore","MD",39.36677,-76.56052,"Beside Building","Outside on School Property","0-5",14,0.9321536358911544,0.5791855095885694,0.7821746743284166,0.9692566234152764,0.5673546819016337,0.01280713314190507,0.8094855935778469,1,0,0,0,1,1,1988966.6688666882,-341958.57134270074,2,72,0.8448346243239939,0.7357311563100666,1
45,4,1,"19720126MDGWB","Gwynn Falls Junior High School","JuniorHigh","1972-01-26",1972,"13:55:00",13,13.92,"Baltimore","MD",39.31517,-76.66328,"Cafeteria","Inside School Building","0-5",13,0.3601982775144279,0.4621772198006511,0.9299920694902539,0.8618073768448085,0.5422680084593594,0.6204129662364721,0.9867674435954541,1,0,0,0,1,1,1982053.905106585,-350005.52552966087,1,743,0.9930447803344578,0.5657080200035125,1
46,5,27,"19720214ILCAC","Camlumet High School","High","1972-02-14",1972,"NA:NA:NA",NA,NA,"Chicago","IL",41.74614,-87.65172,"Outside on School Property","Outside on School Property",NA,-1,0.10795392980799079,0.38308184244669974,0.3508966632653028,0.7547941340599209,0.3431866029277444,0.5732622700743377,0.0026152697391808033,1,0,0,1,0,1,1022704.0205147,-284613.74960748956,1,323,0.5728670582175255,0.14489314705133438,1
